Price,Title,Ratings,Standing screen display size,Screen Resolution,Max Screen Resolution,Processor,RAM,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Graphics Card Ram Size,Wireless Type,Brand,Series,Item model number,Hardware Platform,Operating System,Item Weight,Product Dimensions,Item Dimensions  LxWxH,Color,Processor Brand,Number of Processors,Computer Memory Type,Flash Memory Size,Hard Drive Interface,ASIN,Customer Reviews,Best Sellers Rank,Date First Available,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,"Asus ROG Zephyrus G14 Gaming Laptop, 14'' FHD 144Hz Display, AMD Ryzen 7-5800HS, NVIDIA GeForce RTX 3060 6G Graphics, 16GB RAM, 1TB PCIe SSD, Backlit Keyboard, Win 11 Pro, White, 32GB USB Card",4.4,14 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.8 GHz ryzen_7,16 GB DDR4,1 TB SSD,NVIDIA GeForce RTX 3060,NVIDIA,Dedicated,16 GB,802.11ac,ASUS,ASUS ROG Zephyrus,ASUS ROG Zephyrus G14,PC,Windows 11 Pro,3.64 pounds,12.76 x 8.74 x 0.78 inches,12.76 x 8.74 x 0.78 inches,White,AMD,8,DDR4 SDRAM,16 GB,Solid State,B0CCVP1XR3,4.4  4.4 out of 5 stars        31 ratings    4.4 out of 5 stars,"#7,718 in Computers & Accessories (See Top 100 in Computers & Accessories)  #890 in Traditional Laptop Computers","July 26, 2023",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"ROG Strix Fusion 700 Virtual 7.1 LED Bluetooth Gaming Headset for PC, PS4, and Nintendo Switch with Hi-Fi Grade ESS DAC, ESS Amplifier, Digital Microphone, Bluetooth and Aura Sync RGB Lighting",3.5,ASUS,ROG Strix Fusion 700,Black,On Ear,Bluetooth,"Bluetooth aptX, SBC","Lightweight, Noise Isolation, Volume-Control, Foldable, Microphone Feature, Universal Phone Control",ROG STRIX FUSION 700 headphone;USB cable;quick start guide;ROG hybrid ear cushion;100% protein ear cushion,Adult,Leather,USB,Active Noise Cancellation,On Ear,Call Control,Without Cable,3.96 pounds,20000 Hz,Not Water Resistant,1.0 Count,ROG Strix Fusion 700,Touch,1,No,11.34 x 7.28 x 12.99 inches,B07FK76DMF,ROG STRIX FUSION 700,1 Lithium Polymer batteries required.,3.5  3.5 out of 5 stars        195 ratings    3.5 out of 5 stars,#406 in Computer Headsets,No,"July 16, 2018",ASUS Computer International Direct,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.99,"SGIN Android 12 Tablet, 10 Inch 4GB RAM 64GB ROM Tablets with Octa-Core 2.0Ghz Processor, 1280 * 800 Pixel IPS Screen, 2MP+5MP Camera, 6000mAh, GPS, WiFi, Bluetooth 5.0",5,10 Inches,1280 x 800 pixels,1920*1200 Pixels,2 GHz mediatek_mt8183,4 GB,64 GB,8 Hours,SGIN,SGIN-T10,SGIN-T10,Android 12,2.25 pounds,10.1 x 6 x 0.4 inches,10.1 x 6 x 0.4 inches,Black,5 MP,Allwinner,8,DDR4 SDRAM,1 Lithium Ion batteries required. (included),B0CGZZR77C,5.0  5.0 out of 5 stars        1 rating    5.0 out of 5 stars,"#32,224 in Electronics (See Top 100 in Electronics)  #695 in Computer Tablets","August 31, 2023",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2799.99,"Razer Blade 15 Gaming Laptop: NVIDIA GeForce RTX 4070-13th Gen Intel 14-Core i7 CPU - 15.6” QHD 240Hz - 16GB DDR5 RAM, 1TB PCIe SSD - Windows 11 - CNC Aluminum - Chroma RGB - Thunderbolt 4",4.2,15 Inches,2560 x 1440 pixels,2560x1440 Pixels,5.2 GHz core_i7,16 GB DDR5,5200 MHz,1 TB SSD,NVIDIA GeForce RTX 4070,NVIDIA,RTX 4070,12 GB,3,Razer,Blade,RZ09-0485ZED3-R3U1,PC,Windows 11 Home,4.54 pounds,13.98 x 9.25 x 0.67 inches,13.98 x 9.25 x 0.67 inches,Intel,14,DDR5 RAM,16 GB,240 Volts,4 Lithium Ion batteries required. (included),B0BTQLKPYD,4.2  4.2 out of 5 stars        173 ratings    4.2 out of 5 stars,"#21,455 in Computers & Accessories (See Top 100 in Computers & Accessories)  #3,482 in Traditional Laptop Computers","February 22, 2023",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.75,"SteelSeries Arctis Nova 1P Multi-System Gaming Headset — Hi-Fi Drivers — 360° Spatial Audio — Comfort Design — Durable — Lightweight — Noise-Cancelling Mic — PS5/PS4, PC, Xbox, Switch - White",4.5,1.18 Pounds,B0B8QMW657,61612,"4.5  4.5 out of 5 stars        8,035 ratings    4.5 out of 5 stars","#1,556 in Video Games (See Top 100 in Video Games)  #47 in PlayStation 5 Headsets","August 23, 2022",SteelSeries,China,1.0 Count,1,4 Feet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.95,"Razer Nari Ultimate Wireless 7.1 Surround Sound Gaming Headset: THX Audio & Haptic Feedback - Auto-Adjust Headband - Chroma RGB - Retractable Mic - For PC, PS4, PS5 - Black",4,Razer,Nari Ultimate,Black,Over Ear,Wireless,Wi-Fi,Microphone Included,"Headband, Headset, Micro-USB Cable",Adult,"Aluminum, Foam, Faux Leather","personal, gaming, business",3.5 mm Jack,None,20 minutes,On Ear,"PC, PS4",32 Ohm,Call Control,Without Cable,1.04 pounds,20 KHz,Standard Packaging,1.0 Count,Nari Ultimate,1,3 Feet,20 Hour,20 Hour,RZ04-02670100-R3U1,PC,7.29 x 8.63 x 3.94 inches,Battery,1 Lithium Polymer batteries required. (included),Razer USA Ltd,B07HZ6YWNB,China,No,"September 27, 2018","4.0  4.0 out of 5 stars        5,201 ratings    4.0 out of 5 stars",#317 in Video Games (See Top 100 in Video Games)  #31 in PC Game Headsets
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.59,"BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller, Noise Cancelling Over Ear Headphones with Mic, LED Light, Bass Surround, Soft Memory Earmuffs (Blue)",4.3,BENGOO,G9000,G9000,PC，PS4，MAC，XBOX ONE，XBOX 360,9.6 ounces,8.3 x 4.4 x 7.9 inches,8.3 x 4.4 x 7.9 inches,Blue,Bengoo Inc.,B01H6GUCCQ,No,"June 22, 2016","4.3  4.3 out of 5 stars        102,973 ratings    4.3 out of 5 stars",#15 in Video Games (See Top 100 in Video Games)  #1 in PC Game Headsets  #1 in PlayStation 4 Headsets  #1 in Mac Game Headsets,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3898.54,"ASUS ROG Strix Scar 18 (2023) Gaming Laptop, 18” Nebula Display 16:10 QHD 240Hz/3ms, GeForce RTX 4090, Intel Core i9-13980HX, 32GB DDR5, 2TB PCIe SSD, Wi-Fi 6E, Windows 11 Pro, G834JY-XS97,Black",4.3,18 Inches,2560 x 1600 pixels,2560x1600 Pixels,5.6 GHz intel_core_i9,32 GB DDR5,2 TB SSD,NVIDIA GeForce RTX 4090,NVIDIA,Dedicated,"Bluetooth, 802.11ax",2,ASUS,ROG Strix SCAR 18,G834JY-XS97,Windows 11 Pro,6.8 pounds,15.71 x 0.91 x 11.57 inches,15.71 x 0.91 x 11.57 inches,Black,Intel,24,DDR5 RAM,1 TB,No Drive,20 Volts,1 Lithium Ion batteries required. (included),B0BS79PRQ2,4.3  4.3 out of 5 stars        52 ratings    4.3 out of 5 stars,"#5,077 in Computers & Accessories (See Top 100 in Computers & Accessories)  #542 in Traditional Laptop Computers","January 19, 2023",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.99,"ASUS ROG Spatha X Wireless Gaming Mouse (Magnetic Charging Stand, 12 Programmable Buttons, 19,000 DPI, Push-fit Hot Swap Switch Sockets, ROG Micro Switches&Paracord and Aura RGB lighting),Black",4.3,ASUS,P707 ROG SPATHA X,PC,0.176 ounces,5 x 3 x 2 inches,5 x 3 x 2 inches,Black,Battery Powered,1 Lithium Polymer batteries required.,ASUS,B09726KT4R,China,No,"June 5, 2021",4.3  4.3 out of 5 stars        626 ratings    4.3 out of 5 stars,"#1,795 in Video Games (See Top 100 in Video Games)  #24 in Mac Gaming Mice  #102 in PC Gaming Mice",,,,,,,,,,,,,,,,,,,,,,,,
